Title,Genre,Type,Producer,Studio,Rating,ScoredBy,Popularity,Members,Episodes,Source,Aired
Cowboy Bebop,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Space']",TV,['Bandai Visual'],['Sunrise'],8.81,363889.0,39.0,704490.0,26.0,Original,"Apr 3, 1998 to Apr 24, 1999"
Cowboy Bebop Tengoku no Tobira,"['Action', 'Space', 'Drama', 'Mystery', 'Sci-Fi']",Movie,"['Sunrise', 'Bandai Visual']",['Bones'],8.41,111187.0,475.0,179899.0,1.0,Original,"Sep 1, 2001"
Trigun,"['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Drama', 'Shounen']",TV,['Victor Entertainment'],['Madhouse'],8.31,197451.0,158.0,372709.0,26.0,Manga,"Apr 1, 1998 to Sep 30, 1998"
Witch Hunter Robin,"['Action', 'Magic', 'Police', 'Supernatural', 'Drama', 'Mystery']",TV,['Bandai Visual'],['Sunrise'],7.34,31875.0,1278.0,74889.0,26.0,Original,"Jul 2, 2002 to Dec 24, 2002"
Bouken Ou Beet,"['Adventure', 'Fantasy', 'Shounen', 'Supernatural']",TV,,['Toei Animation'],7.04,4757.0,3968.0,11247.0,52.0,Manga,"Sep 30, 2004 to Sep 29, 2005"
Eyeshield 21,"['Action', 'Sports', 'Comedy', 'Shounen']",TV,"['TV Tokyo', 'Nihon Ad Systems', 'TV Tokyo Music', 'Shueisha']",['Studio Gallop'],8.05,48765.0,888.0,106468.0,145.0,Manga,"Apr 6, 2005 to Mar 19, 2008"
Hachimitsu to Clover,"['Comedy', 'Drama', 'Josei', 'Romance', 'Slice of Life']",TV,"['Genco', 'Fuji TV', 'Shueisha']",['J.C.Staff'],8.14,54367.0,578.0,160236.0,24.0,Manga,"Apr 15, 2005 to Sep 27, 2005"
Hungry Heart Wild Striker,"['Slice of Life', 'Comedy', 'Sports', 'Shounen']",TV,,['Nippon Animation'],7.69,8868.0,3330.0,16132.0,52.0,Manga,"Sep 11, 2002 to Sep 10, 2003"
Initial D Fourth Stage,"['Action', 'Cars', 'Sports', 'Drama', 'Seinen']",TV,"['OB Planning', 'Studio Jack']",['A.C.G.T.'],8.24,37575.0,1228.0,64338.0,24.0,Manga,"Apr 17, 2004 to Feb 18, 2006"
Monster,"['Drama', 'Horror', 'Mystery', 'Police', 'Psychological', 'Seinen', 'Thriller']",TV,"['VAP', 'Shogakukan Productions', 'Nippon Television Network']",['Madhouse'],8.69,118553.0,159.0,352153.0,74.0,Manga,"Apr 7, 2004 to Sep 28, 2005"
Naruto,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']",TV,"['TV Tokyo', 'Aniplex', 'Shueisha']",['Studio Pierrot'],7.88,645672.0,9.0,975394.0,220.0,Manga,"Oct 3, 2002 to Feb 8, 2007"
Tennis no Oujisama,"['Action', 'Comedy', 'Sports', 'School', 'Shounen']",TV,"['Production I.G', 'Nihon Ad Systems']",['Trans Arts'],8.01,48076.0,915.0,107296.0,178.0,Manga,"Oct 10, 2001 to Mar 23, 2005"
Ring ni Kakero 1,"['Action', 'Shounen', 'Sports']",TV,,['Toei Animation'],6.59,763.0,6847.0,2725.0,12.0,Manga,"Oct 6, 2004 to Dec 15, 2004"
School Rumble,"['Comedy', 'Romance', 'School', 'Shounen']",TV,"['TV Tokyo', 'Sotsu', 'Marvelous', 'Starchild Records', 'Media Factory', 'DAX Production', 'Studio Jack']",['Studio Comet'],8.02,101509.0,412.0,214291.0,26.0,Manga,"Oct 5, 2004 to Mar 29, 2005"
Sunabouzu,"['Action', 'Adventure', 'Comedy', 'Ecchi', 'Sci-Fi', 'Shounen']",TV,"['GDH', 'Pony Canyon', 'CBC']",['Gonzo'],7.52,34345.0,1112.0,83460.0,24.0,Manga,"Oct 6, 2004 to Mar 30, 2005"
Texhnolyze,"['Action', 'Sci-Fi', 'Psychological', 'Drama']",TV,"['Group TAC', 'Rondo Robe', 'Fuji TV', 'Pioneer LDC']",['Madhouse'],7.78,29698.0,720.0,126309.0,22.0,Original,"Apr 17, 2003 to Sep 25, 2003"
Trinity Blood,"['Action', 'Supernatural', 'Vampire']",TV,,['Gonzo'],7.41,59564.0,761.0,131732.0,24.0,Light novel,"Apr 29, 2005 to Oct 28, 2005"
Yakitate Japan,"['Comedy', 'Shounen']",TV,"['TV Tokyo', 'Aniplex', 'd-rights', 'Tohokushinsha Film Corporation', 'Atelier Musa']",['Sunrise'],8.02,26509.0,1476.0,62224.0,69.0,Manga,"Oct 12, 2004 to Mar 14, 2006"
Zipang,"['Action', 'Military', 'Sci-Fi', 'Historical', 'Drama', 'Seinen']",TV,"['Marvelous', 'TBS']",['Studio Deen'],7.54,4148.0,3729.0,11768.0,26.0,Manga,"Oct 8, 2004 to Apr 1, 2005"
Neon Genesis Evangelion,"['Action', 'Sci-Fi', 'Dementia', 'Psychological', 'Drama', 'Mecha']",TV,"['TV Tokyo', 'Kadokawa Shoten', 'Nihon Ad Systems', 'Audio Tanaka']","['Gainax', 'Tatsunoko Production']",8.32,362916.0,49.0,638943.0,26.0,Original,"Oct 4, 1995 to Mar 27, 1996"
Neon Genesis Evangelion Death  Rebirth,"['Drama', 'Mecha', 'Psychological', 'Sci-Fi']",Movie,"['Movic', 'Sega', 'TV Tokyo Music', 'Audio Tanaka']","['Gainax', 'Production I.G']",7.5,70336.0,764.0,121746.0,1.0,Original,"Mar 15, 1997"
Neon Genesis Evangelion The End of Evangelion,"['Sci-Fi', 'Dementia', 'Psychological', 'Drama', 'Mecha']",Movie,"['TV Tokyo', 'Toei Animation', 'Kadokawa Shoten', 'Movic', 'Sega', 'TV Tokyo Music', 'Audio Tanaka']","['Gainax', 'Production I.G']",8.48,193277.0,208.0,295214.0,1.0,Original,"Jul 19, 1997"
Kenpuu Denki Berserk,"['Action', 'Adventure', 'Demons', 'Drama', 'Fantasy', 'Horror', 'Military', 'Romance', 'Seinen', 'Supernatural']",TV,"['VAP', 'Hakusensha', 'Nippon Television Network']",['OLM'],8.45,153543.0,250.0,301328.0,25.0,Manga,"Oct 8, 1997 to Apr 1, 1998"
Koukaku Kidoutai,"['Action', 'Sci-Fi', 'Police', 'Psychological', 'Mecha', 'Seinen']",Movie,"['Bandai Visual', 'Kodansha']",['Production I.G'],8.35,182385.0,205.0,328965.0,1.0,Manga,"Nov 18, 1995"
Rurouni Kenshin Meiji Kenkaku Romantan  Tsuiokuhen,"['Action', 'Historical', 'Drama', 'Romance', 'Martial Arts', 'Samurai']",OVA,['Aniplex'],['Studio Deen'],8.79,89007.0,537.0,166944.0,4.0,Manga,"Feb 20, 1999 to Sep 22, 1999"
Rurouni Kenshin Meiji Kenkaku Romantan,"['Action', 'Adventure', 'Comedy', 'Historical', 'Romance', 'Samurai']",TV,"['Aniplex', 'SME Visual Works', 'Fuji TV']","['Studio Gallop', 'Studio Deen']",8.4,135492.0,294.0,274956.0,94.0,Manga,"Jan 10, 1996 to Sep 8, 1998"
Rurouni Kenshin Meiji Kenkaku Romantan  Ishinshishi e no Chinkonka,"['Samurai', 'Historical', 'Drama', 'Shounen']",Movie,"['Fuji TV', 'Sony Music Entertainment']",['Studio Gallop'],7.63,20921.0,2166.0,37273.0,1.0,Manga,"Dec 20, 1997"
Akira,"['Action', 'Military', 'Sci-Fi', 'Adventure', 'Horror', 'Supernatural']",Movie,"['Mainichi Broadcasting System', 'Kodansha', 'Toho']",['Tokyo Movie Shinsha'],8.16,190158.0,195.0,309004.0,1.0,Manga,"Jul 16, 1988"
hackSign,"['Game', 'Sci-Fi', 'Adventure', 'Mystery', 'Magic', 'Fantasy']",TV,"['Bandai Visual', 'Yomiko Advertising', 'Bandai', 'CyberConnect2']",['Bee Train'],7.09,61438.0,771.0,129203.0,26.0,Original,"Apr 4, 2002 to Sep 26, 2002"
Aa Megamisama,"['Comedy', 'Magic', 'Romance', 'Seinen', 'Supernatural']",OVA,"['Bandai Visual', 'KSS', 'Pony Canyon', 'TBS', 'Kodansha', 'Half H.P Studio', 'Nichion']",['AIC'],7.38,20917.0,2083.0,38999.0,5.0,Manga,"Feb 21, 1993 to May 17, 1994"
Aa Megamisama TV,"['Comedy', 'Supernatural', 'Magic', 'Romance', 'Seinen']",TV,"['Bandai Visual', 'TBS']",['AIC'],7.43,57230.0,902.0,111950.0,24.0,Manga,"Jan 7, 2005 to Jul 8, 2005"
Tenshi Kinryouku,"['Action', 'Drama', 'Romance', 'Shoujo', 'Supernatural']",OVA,"['Bandai Visual', 'AIC', 'Lantis', 'Audio Tanaka']",['Hal Film Maker'],6.42,23142.0,2120.0,39332.0,3.0,Manga,"May 25, 2000 to Aug 25, 2000"
